,Income,Expenses,P/L,Income,,,,,,Housing,,,,,Bills & Utilities,,,,Debt,,,,,Business,,,,,,,,,,,Food & Dining,,,,,,Travel,,,,Health,,,,,,Drugs,,,,,,Auto Transport,,,,,,,,Gifts,Hobbies,,,,,,,Shopping,,,,,Entertainment,,,,,,,
Month,Total,Total,Total,Elev808,Source 4,Creo RX,CC Rewards,Other Income,Total,Rent,Basic,Moving,Azuma,Total,Phone,Gas & Electric,Fiber,,CC Payment,IRS,Interest,One Main,,Elev808,Clipper Hive,Creo RX,Hypnos,LUX,AI,Books,Laptop,Storage,Software,,Groceries,Doordash,Restaurants,Coffee Shops,Ready Fresh,,Vacation,Entertainment,Uber,,Gym,Dentist & Doctor,Peptides,Supplements,Whoop,,Addy,Weed,Zyn,Alcohol,Other,,Payment,Gas,Wash,Parking & Tolls,Registration,Repairs,Insurance,,Gifts,Dog,Dating,Golf,Music,Poker,Video Editing,,Clothing,Shopping,Furniture,Prime,,Drinking,Events,Watching Media,Music Media,Pamper,Party,Uber,
January,"$20,828.69","$15,628.62","$5,200.07","$13,080.00","$6,900.00",$727.08,$121.61,$0.00,"$20,828.69","$2,800.00",$375.97,,$114.89,"$3,290.86",$483.88,$295.40,$72.16,$851.44,,,,$351.26,$351.26,,,,$325.00,"$1,010.26",,$35.57,$172.26,,,"$1,543.09",$793.52,$475.64,$194.41,$134.82,$78.63,"$1,677.02","$1,494.21",,$37.65,"$1,531.86",$146.13,,$399.70,$53.19,,$599.02,$119.32,,$109.75,,,$229.07,$513.32,$53.35,$19.00,$7.29,,,,$592.96,$469.18,$134.18,,,$24.02,"$4,099.99",$22.99,"$4,281.18",-$69.08,$36.78,,,-$32.30,,$69.00,$52.46,$11.87,$110.65,,,$243.98
February,"$15,240.68","$9,323.81","$5,916.87","$6,300.00","$6,900.00","$1,939.71",$100.97,$0.00,"$15,240.68","$2,839.99",$356.77,,,"$3,196.76",,$353.06,$72.16,$425.22,,,$57.36,$351.26,$408.62,,,$332.32,$31.97,$28.51,$11.78,$14.06,$172.26,,$49.99,$640.89,$370.40,$708.16,$302.38,$38.62,$78.63,"$1,498.19","$1,067.71",,$15.26,"$1,082.97",$203.81,,,$122.43,,$326.24,$119.32,$140.73,$219.00,,,$479.05,$513.32,$39.87,,,,,,$553.19,$31.73,,,,$24.02,,$23.68,$47.70,$151.91,$277.79,$35.16,,$464.86,,,$35.16,$41.33,$91.90,,,$168.39
March,"$15,370.61","$31,191.52","-$15,820.91","$6,300.00","$6,900.00","$1,939.71",$230.90,,"$15,370.61","$2,800.00",$210.66,,$114.65,"$3,125.31",$543.24,$329.01,$72.16,$944.41,-$29.00,$212.13,$14.53,$351.26,$548.92,$75.95,"$10,825.00","$1,326.02",$31.97,$7.20,$249.10,$15.06,$172.26,,,"$12,702.56",$860.87,$665.65,$986.41,$52.74,$67.14,"$2,632.81","$3,526.67",,$257.60,"$3,784.27",$296.50,"$4,350.90",,$195.90,,"$4,843.30",$100.00,$205.11,$207.58,,,$512.69,$513.32,$122.42,,$1.50,,,,$637.24,$57.00,$200.00,,,$182.28,"-$1,278.67",$23.68,-$872.71,$722.42,$239.00,$63.49,,"$1,024.91",,"$1,045.57",$59.48,$33.76,$112.00,,,"$1,250.81"
April,"$15,768.01","$13,016.91","$2,751.10","$6,491.92","$6,900.00","$1,939.71",$436.38,,"$15,768.01","$2,800.00",$80.56,,$114.58,"$2,995.14",,$286.53,$72.16,$358.69,$599.67,,$24.45,$351.26,$975.38,$115.97,,$199.53,,,$129.00,$24.09,$172.26,$4.64,$139.98,$785.47,$487.13,$616.82,$629.22,$44.04,$71.25,"$1,848.46",$787.85,,$154.58,$942.43,$191.97,"$1,252.00",,$86.34,,"$1,530.31",$100.00,$350.73,$293.94,$320.24,,"$1,064.91",$513.32,$105.81,$13.00,$153.74,,$32.31,,$818.18,$480.32,$110.74,$37.88,$556.13,$9.99,$149.98,$23.68,$888.40,$283.41,$76.81,,,$360.22,,-$338.00,$210.80,$5.93,$90.27,,,-$31.00
May,"$13,234.41","$12,118.30","$1,116.11","$6,300.00","$6,900.00",,$34.41,,"$13,234.41","$2,800.00",$19.46,,,"$2,819.46",,$307.30,$72.16,$379.46,$100.00,,$163.02,$351.26,$614.28,$156.61,,,,,$70.64,,$172.26,,$12.17,$411.68,$668.65,$565.68,"$2,098.79",,,"$3,333.12",$852.27,,$220.11,"$1,072.38",$43.29,,,,,$43.29,,$124.49,$122.20,,,$246.69,$513.32,,,$57.03,,,$815.50,"$1,385.85",$43.93,$28.12,,$779.47,$9.99,,$23.68,$841.26,$164.70,$388.87,,$150.47,$704.04,,$5.00,$28.12,$27.82,$161.92,,,$222.86
June,"$20,434.87","$12,217.37","$8,217.50","$3,276.00","$6,900.00",,$258.87,"$10,000.00","$20,434.87",,$92.22,"$1,279.40",,"$1,371.62",,$323.22,$72.16,$395.38,,"$1,004.82",$156.47,$351.26,"$1,512.55",$123.65,,,,,$10.64,,$192.82,,,$327.11,$272.95,$960.34,"$1,377.78",,$11.09,"$2,622.16",-$193.57,,$333.05,$139.48,$55.59,-$3.65,$38.00,,,$89.94,$794.80,,$294.71,$595.08,$870.42,"$2,555.01",$513.32,$148.99,$10.00,,,,,$672.31,,$85.24,,$422.20,$9.99,"$1,569.96",$23.68,"$2,111.07",,$138.76,,,$138.76,,,$226.04,$55.94,,,,$281.98
July,"$12,649.35","$9,490.50","$3,158.85","$3,936.62","$8,500.00",,$12.73,$200.00,"$12,649.35",-$868.00,,$317.00,,-$551.00,,$312.40,,$312.40,,"$1,000.00",$63.20,$717.77,"$1,780.97",$109.08,,,,,$134.76,,$172.26,$8.50,,$424.60,$58.60,$470.85,$836.47,$129.76,$11.09,"$1,506.77",$125.00,,$36.94,$161.94,$43.29,"$1,188.00",,$21.06,,"$1,252.35",$168.00,$137.05,$292.28,$430.73,,"$1,028.06",$513.32,$116.43,,,,,,$629.75,$130.00,$49.60,,"$2,657.38",$24.02,,$23.68,"$2,754.68",$20.00,,,,$20.00,,,$34.05,$5.93,,,,$39.98
August,,,,,,,,,$0.00,,,,,$0.00,,,,$0.00,,,,,$0.00,,,,,,,,,,,$0.00,,,,,,$0.00,,,,$0.00,,,,,,$0.00,,,,,,$0.00,,,,,,,,$0.00,,,,,,,,$0.00,,,,,$0.00,,,,,,,,$0.00
September,,,,,,,,,$0.00,,,,,$0.00,,,,$0.00,,,,,$0.00,,,,,,,,,,,$0.00,,,,,,$0.00,,,,$0.00,,,,,,$0.00,,,,,,$0.00,,,,,,,,$0.00,,,,,,,,$0.00,,,,,$0.00,,,,,,,,$0.00
